(1, datetime.datetime(2024, 8, 29, 14, 35, 44, 851879), 'info', 'Run: REM')
(2, datetime.datetime(2024, 8, 29, 14, 35, 44, 859880), 'info', 'Run: NEWTBL,TEST')
(3, datetime.datetime(2024, 8, 29, 14, 35, 44, 863886), 'info', 'Run: DELAYMS,1000')
(4, datetime.datetime(2024, 8, 29, 14, 35, 45, 855437), 'info', 'Initiate a 1000 mS, delay')
(5, datetime.datetime(2024, 8, 29, 14, 35, 45, 865618), 'info', 'Run: DELAYMS,1000')
(6, datetime.datetime(2024, 8, 29, 14, 35, 46, 870500), 'info', 'Initiate a 1000 mS, delay')
(7, datetime.datetime(2024, 8, 29, 14, 35, 46, 877697), 'info', 'Run: DELAYMS,1000')
(8, datetime.datetime(2024, 8, 29, 14, 35, 47, 871774), 'info', 'Initiate a 1000 mS, delay')
(9, datetime.datetime(2024, 8, 29, 14, 35, 47, 878772), 'info', 'Run: DELAYMS,1000')
(10, datetime.datetime(2024, 8, 29, 14, 35, 48, 879815), 'info', 'Initiate a 1000 mS, delay')
(11, datetime.datetime(2024, 8, 29, 14, 35, 48, 885816), 'info', 'Run: DELAYMS,1000')
(12, datetime.datetime(2024, 8, 29, 14, 35, 49, 884972), 'info', 'Initiate a 1000 mS, delay')
(13, datetime.datetime(2024, 8, 29, 14, 35, 49, 896406), 'info', 'Run: DELAYMS,1000')
(14, datetime.datetime(2024, 8, 29, 14, 35, 50, 891520), 'info', 'Initiate a 1000 mS, delay')
(15, datetime.datetime(2024, 8, 29, 14, 35, 50, 897670), 'info', 'Run: DELAYMS,1000')
(16, datetime.datetime(2024, 8, 29, 14, 35, 51, 902310), 'info', 'Initiate a 1000 mS, delay')
(17, datetime.datetime(2024, 8, 29, 14, 35, 51, 911000), 'info', 'Run: DELAYMS,1000')
(18, datetime.datetime(2024, 8, 29, 14, 35, 52, 915909), 'info', 'Initiate a 1000 mS, delay')
(19, datetime.datetime(2024, 8, 29, 14, 35, 52, 925744), 'info', 'Run: DELAYMS,1000')
(20, datetime.datetime(2024, 8, 29, 14, 35, 53, 925648), 'info', 'Initiate a 1000 mS, delay')
(21, datetime.datetime(2024, 8, 29, 14, 35, 53, 933645), 'info', 'Run: DELAYMS,1000')
(22, datetime.datetime(2024, 8, 29, 14, 35, 54, 934293), 'info', 'Initiate a 1000 mS, delay')
(23, datetime.datetime(2024, 8, 29, 14, 35, 54, 942284), 'info', 'Run: DELAYMS,1000')
(24, datetime.datetime(2024, 8, 29, 14, 35, 55, 950783), 'info', 'Initiate a 1000 mS, delay')
(25, datetime.datetime(2024, 8, 29, 14, 35, 55, 957697), 'info', 'Run: DELAYMS,1000')
(26, datetime.datetime(2024, 8, 29, 14, 35, 56, 960374), 'info', 'Initiate a 1000 mS, delay')
(27, datetime.datetime(2024, 8, 29, 14, 35, 56, 968370), 'info', 'Run: DELAYMS,1000')
(28, datetime.datetime(2024, 8, 29, 14, 35, 57, 971129), 'info', 'Initiate a 1000 mS, delay')
(29, datetime.datetime(2024, 8, 29, 14, 35, 57, 980110), 'info', 'Run: DELAYMS,1000')
(30, datetime.datetime(2024, 8, 29, 14, 35, 58, 980964), 'info', 'Initiate a 1000 mS, delay')
(31, datetime.datetime(2024, 8, 29, 14, 35, 58, 986973), 'info', 'Run: DELAYMS,1000')
(32, datetime.datetime(2024, 8, 29, 14, 35, 59, 982557), 'info', 'Initiate a 1000 mS, delay')
